Full_ID,Tower,Level,Zone,SOW,Column_ID,fwk_pc13,rebar_pc13,concrete_pc13,Category,fwk_pc14,rebar_pc14,concrete_pc14
T4-L1-Z9-C5,T4,L1,Z9,5,C5,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z9-C6,T4,L1,Z9,5,C6,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z9-C7,T4,L1,Z9,5,C7,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z9-C8,T4,L1,Z9,5,C8,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z9-C9,T4,L1,Z9,5,C9,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z9-C10,T4,L1,Z9,5,C10,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z11-C1,T4,L1,Z11,2,C1,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z11-C2,T4,L1,Z11,2,C2,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z11-C3,T4,L1,Z11,2,C3,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z11-C4,T4,L1,Z11,2,C4,,,,Column,100%,100%,
T4-L1-Z11-C5,T4,L1,Z11,2,C5,,,,Column,100%,100%,
T4-L1-Z11-C6,T4,L1,Z11,2,C6,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z11-C7,T4,L1,Z11,2,C7,,,,Column,100%,100%,
T4-L1-Z12-C1,T4,L1,Z12,2,C1,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z12-C2,T4,L1,Z12,2,C2,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z12-C3,T4,L1,Z12,2,C3,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z12-C4,T4,L1,Z12,2,C4,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z12-C5,T4,L1,Z12,2,C5,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z12-C6,T4,L1,Z12,2,C6,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z12-C7,T4,L1,Z12,2,C7,100%,100%,,Column,100%,100%,
T4-L1-Z12-C8,T4,L1,Z12,2,C8,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z12-C9,T4,L1,Z12,2,C9,,,,Column,100%,100%,
T4-L1-Z12-C10,T4,L1,Z12,2,C10,,,,Column,100%,100%,
T4-L1-Z12-C11,T4,L1,Z12,2,C11,,,,Column,100%,100%,
T4-L1-Z12-C12,T4,L1,Z12,2,C12,,,,Column,100%,100%,
T4-L1-Z12-C13,T4,L1,Z12,2,C13,,,,Column,100%,100%,
T4-L1-Z12-C14,T4,L1,Z12,2,C14,,,,Column,100%,100%,
T4-L1-Z12-C15,T4,L1,Z12,2,C15,,,,Column,100%,100%,
T4-L1-Z12-C16,T4,L1,Z12,2,C16,,,,Column,100%,100%,
T4-L1-Z12-C17,T4,L1,Z12,2,C17,,,,Column,100%,100%,
T4-L1-Z12-C18,T4,L1,Z12,2,C18,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z12-C19,T4,L1,Z12,2,C19,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z13-C1,T4,L1,Z13,2,C1,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z13-C2,T4,L1,Z13,2,C2,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z13-C3,T4,L1,Z13,2,C3,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z13-C4,T4,L1,Z13,2,C4,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z13-C5,T4,L1,Z13,2,C5,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z13-C6,T4,L1,Z13,2,C6,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z13-C7,T4,L1,Z13,2,C7,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z13-C8,T4,L1,Z13,2,C8,,,,Column,,,
T4-L1-Z13-C9,T4,L1,Z13,2,C9,,,,Column,,,
